推數,噓數,文章分數,文章作者,文章名稱,發表時間
2,4,-2,biolive40 (ntu biolive40),[問卦] 請問瑞莎要怎樣才能選立委？,Wed Nov  3 14:04:28 2021
7,6,1,phantasystar (phantasystar),[問卦] 買50顆鍋貼老闆只給一雙筷子,Wed Nov  3 16:25:52 2021
2,1,1,simsin5566 (☆小妹@德州奧斯汀★),[問卦] 超商餅乾的霸主是啥？,Wed Nov  3 14:30:47 2021
2,4,-2,Silent (夢想),[問卦] 跟女同事一起吃飯 突然想放屁啦幹！,Wed Nov  3 13:33:49 2021
3,0,3,LouisLEE (屏東尼大木),[問卦] 身在反指標家庭中，該注意什麼？,Wed Nov  3 14:46:40 2021
3,4,-1,Howard61313 (好餓),[問卦] 軍官朋友退役從政 卻跟退役前一樣窩囊 怎辦,Wed Nov  3 16:25:16 2021
15,2,13,jazzcai (如果有一天),[問卦] 載了一堆迷片，卻沒點開來看,Wed Nov  3 13:11:23 2021
3,2,1,nk11208z (小魯),[問卦] 這兩年八卦版的VT宅跟動漫宅怎麼變少了,Wed Nov  3 11:43:20 2021
10,1,9,rs23234 (.),[問卦] 這周農遊劵怎都抽3碼？,Wed Nov  3 11:45:06 2021
1,6,-5,liang691206 (liang691206),[問卦] 這幾年是不是證明台灣人不適合民主,Wed Nov  3 14:15:00 2021
9,9,0,u35k6 (漫畫),[問卦] 鄧佳華的故事是不是很勵志,Wed Nov  3 14:22:04 2021
11,2,9,iamshiba ((  ・ω・`)),[問卦] 醫生們平時都會聊些什麼,Wed Nov  3 13:16:00 2021
58,6,52,HAHAHUNG (哭阿),[問卦] 金城武留言「好兇」會發生什麼事,Wed Nov  3 11:57:12 2021
14,6,8,glthe1 (姆咪教-金毛獅王),[問卦] 長得像孔劉但身高160，女生可以嗎？,Wed Nov  3 12:21:32 2021
8,1,7,ben28 (ben),[問卦] 關於戰爭台灣民眾有憂患意識嗎？,Wed Nov  3 13:08:09 2021
1,0,1,senma (ライフ☆ライン),[問卦] 防疫保單公司是不是很賊,Wed Nov  3 13:57:33 2021
6,0,6,Rita0205 (姆咪榨豆漿),[問卦] 阿基師跟小當家誰比較強,Wed Nov  3 14:10:27 2021
10,3,7,wiwi0526 (wiwi),[問卦] 露奶，又不準看，到底想什麼,Wed Nov  3 15:34:20 2021
